batch_size,sequence_length,decode_steps,warmup_steps,status,kv_quantization,state_quantization,prefill_latency_s,decode_total_s,decode_ms_per_step,decode_ms_per_token,tokens_per_s,step_p50_ms,step_p90_ms,peak_memory_gib,error
8,2048,32,4,ok,int4,mx8,7.719428664073348,1.5434893341735005,48.23404169292189,6.0292552116152365,165.85796502253223,48.16530551761389,48.287327168509364,28.080503940582275,
16,2048,32,4,ok,int4,mx8,3.811297436710447,2.2465111478231847,70.20347336947452,4.387717085592158,227.9089513960862,70.16400760039687,70.25491897948088,41.041687965393066,
32,2048,32,4,ok,int4,mx8,6.01806151214987,7.873222381807864,246.03819943149574,7.688693732234242,130.06110463310287,245.1000444125384,249.39196254126728,66.95880651473999,
