staging_mode,batch_size,context_length,decode_step,decode_position,attn_layer_id,prev_attn_layer_id,T_gap_ms,T_stage_ms,T_attn_ms,wait_before_attention_ms,hideability,overlap_ratio_wait_based,stage_target,gap_slowdown_ms,gap_slowdown_pct,net_stage_cost_ms,effective_overlap_wall_clock
none,8,2048,19,2071,18,7,5.469183921813965,,1.5749119520187378,,,,NONE,,,,
none,8,2048,19,2071,29,18,5.398528099060059,,1.5667200088500977,,,,NONE,,,,
none,8,2048,19,2071,40,29,5.5070719718933105,,1.572864055633545,,,,NONE,,,,
none,8,2048,20,2072,7,,4.363264083862305,,1.5790079832077026,,,,NONE,,,,
none,8,2048,20,2072,18,7,5.445631980895996,,1.5656960010528564,,,,NONE,,,,
none,8,2048,20,2072,29,18,5.439487934112549,,1.5738879442214966,,,,NONE,,,,
none,8,2048,20,2072,40,29,5.441535949707031,,1.5667200088500977,,,,NONE,,,,
none,8,2048,21,2073,7,,4.319231986999512,,1.5790079832077026,,,,NONE,,,,
none,8,2048,21,2073,18,7,5.421055793762207,,1.5718400478363037,,,,NONE,,,,
none,8,2048,21,2073,29,18,5.47327995300293,,1.56876802444458,,,,NONE,,,,
none,8,2048,21,2073,40,29,5.459968090057373,,1.5667200088500977,,,,NONE,,,,
none,8,2048,22,2074,7,,4.319231986999512,,1.5841280221939087,,,,NONE,,,,
none,8,2048,22,2074,18,7,5.414912223815918,,1.5503360033035278,,,,NONE,,,,
none,8,2048,22,2074,29,18,5.416959762573242,,1.5738879442214966,,,,NONE,,,,
none,8,2048,22,2074,40,29,5.428224086761475,,1.5677440166473389,,,,NONE,,,,
none,8,2048,23,2075,7,,4.325376033782959,,1.5882240533828735,,,,NONE,,,,
none,8,2048,23,2075,18,7,5.4824957847595215,,1.5595519542694092,,,,NONE,,,,
none,8,2048,23,2075,29,18,5.442560195922852,,1.5718400478363037,,,,NONE,,,,
none,8,2048,23,2075,40,29,5.435391902923584,,1.572864055633545,,,,NONE,,,,
none,8,2048,24,2076,7,,4.3376641273498535,,1.5738879442214966,,,,NONE,,,,
none,8,2048,24,2076,18,7,5.451776027679443,,1.5605759620666504,,,,NONE,,,,
none,8,2048,24,2076,29,18,5.438464164733887,,1.572864055633545,,,,NONE,,,,
none,8,2048,24,2076,40,29,5.454847812652588,,1.5718400478363037,,,,NONE,,,,
none,8,2048,25,2077,7,,4.345856189727783,,1.556480050086975,,,,NONE,,,,
none,8,2048,25,2077,18,7,5.393407821655273,,1.5534080266952515,,,,NONE,,,,
none,8,2048,25,2077,29,18,5.46611213684082,,1.5534080266952515,,,,NONE,,,,
none,8,2048,25,2077,40,29,5.427199840545654,,1.5708160400390625,,,,NONE,,,,
none,8,2048,26,2078,7,,4.373504161834717,,1.581055998802185,,,,NONE,,,,
none,8,2048,26,2078,18,7,5.435391902923584,,1.5708160400390625,,,,NONE,,,,
none,8,2048,26,2078,29,18,5.434368133544922,,1.5779839754104614,,,,NONE,,,,
none,8,2048,26,2078,40,29,5.52345609664917,,1.427456021308899,,,,NONE,,,,
none,8,2048,27,2079,7,,4.320256233215332,,1.5841280221939087,,,,NONE,,,,
none,8,2048,27,2079,18,7,5.427199840545654,,1.56876802444458,,,,NONE,,,,
none,8,2048,27,2079,29,18,5.450751781463623,,1.5575040578842163,,,,NONE,,,,
none,8,2048,27,2079,40,29,5.443583965301514,,1.5697920322418213,,,,NONE,,,,
none,8,2048,28,2080,7,,4.331520080566406,,1.5708160400390625,,,,NONE,,,,
none,8,2048,28,2080,18,7,5.470208168029785,,1.5831040143966675,,,,NONE,,,,
none,8,2048,28,2080,29,18,5.410816192626953,,1.5738879442214966,,,,NONE,,,,
none,8,2048,28,2080,40,29,5.41593599319458,,1.4295040369033813,,,,NONE,,,,
none,8,2048,29,2081,7,,4.339712142944336,,1.5769599676132202,,,,NONE,,,,
none,8,2048,29,2081,18,7,5.453824043273926,,1.5779839754104614,,,,NONE,,,,
none,8,2048,29,2081,29,18,5.437439918518066,,1.5882240533828735,,,,NONE,,,,
none,8,2048,29,2081,40,29,5.395455837249756,,1.575935959815979,,,,NONE,,,,
none,8,2048,30,2082,7,,4.415487766265869,,1.575935959815979,,,,NONE,,,,
none,8,2048,30,2082,18,7,5.4527997970581055,,1.5677440166473389,,,,NONE,,,,
none,8,2048,30,2082,29,18,5.451776027679443,,1.5615999698638916,,,,NONE,,,,
none,8,2048,30,2082,40,29,5.410816192626953,,1.5749119520187378,,,,NONE,,,,
none,8,2048,31,2083,7,,4.332543849945068,,1.572864055633545,,,,NONE,,,,
none,8,2048,31,2083,18,7,5.448703765869141,,1.5800319910049438,,,,NONE,,,,
