staging_mode,batch_size,context_length,decode_step,decode_position,layer_id,layer_type,elapsed_ms
none,8,2048,1,2053,50,mamba,0.6993920207023621
none,8,2048,1,2053,51,mlp,0.37990400195121765
none,8,2048,2,2054,0,mamba,0.8182719945907593
none,8,2048,2,2054,1,mlp,0.3850240111351013
none,8,2048,2,2054,2,mamba,0.719871997833252
none,8,2048,2,2054,3,mlp,0.38092800974845886
none,8,2048,2,2054,4,mamba,0.7024639844894409
none,8,2048,2,2054,5,mlp,0.37785598635673523
none,8,2048,2,2054,6,mamba,0.6932479739189148
none,8,2048,2,2054,7,attention,1.714176058769226
none,8,2048,2,2054,8,mlp,0.28672000765800476
none,8,2048,2,2054,9,mamba,0.7260159850120544
none,8,2048,2,2054,10,mlp,0.37990400195121765
none,8,2048,2,2054,11,mamba,0.7055360078811646
none,8,2048,2,2054,12,mlp,0.37887999415397644
none,8,2048,2,2054,13,mamba,0.7014399766921997
none,8,2048,2,2054,14,mlp,0.38092800974845886
none,8,2048,2,2054,15,mamba,0.7055360078811646
none,8,2048,2,2054,16,mlp,0.37887999415397644
none,8,2048,2,2054,17,mamba,0.7106559872627258
none,8,2048,2,2054,18,attention,1.6803840398788452
none,8,2048,2,2054,19,mlp,0.28467199206352234
none,8,2048,2,2054,20,mamba,0.7034879922866821
none,8,2048,2,2054,21,mlp,0.3840000033378601
none,8,2048,2,2054,22,mamba,0.7178239822387695
none,8,2048,2,2054,23,mlp,0.37990400195121765
none,8,2048,2,2054,24,mamba,0.7004160284996033
none,8,2048,2,2054,25,mlp,0.3819519877433777
none,8,2048,2,2054,26,mamba,0.7014399766921997
none,8,2048,2,2054,27,mlp,0.392192006111145
none,8,2048,2,2054,28,mamba,0.6912000179290771
none,8,2048,2,2054,29,attention,1.6998399496078491
none,8,2048,2,2054,30,mlp,0.2836480140686035
none,8,2048,2,2054,31,mamba,0.7014399766921997
none,8,2048,2,2054,32,mlp,0.37785598635673523
none,8,2048,2,2054,33,mamba,0.7045120000839233
none,8,2048,2,2054,34,mlp,0.3829759955406189
none,8,2048,2,2054,35,mamba,0.7045120000839233
none,8,2048,2,2054,36,mlp,0.38707199692726135
none,8,2048,2,2054,37,mamba,0.6840320229530334
none,8,2048,2,2054,38,mlp,0.3819519877433777
none,8,2048,2,2054,39,mamba,0.6922240257263184
none,8,2048,2,2054,40,attention,1.6875519752502441
none,8,2048,2,2054,41,mlp,0.28467199206352234
none,8,2048,2,2054,42,mamba,0.7690240144729614
none,8,2048,2,2054,43,mlp,0.3901439905166626
none,8,2048,2,2054,44,mamba,0.7065600156784058
none,8,2048,2,2054,45,mlp,0.3819519877433777
none,8,2048,2,2054,46,mamba,0.7014399766921997
none,8,2048,2,2054,47,mlp,0.37785598635673523
none,8,2048,2,2054,48,mamba,0.7229440212249756
none,8,2048,2,2054,49,mlp,0.37990400195121765
none,8,2048,2,2054,50,mamba,0.6952959895133972
none,8,2048,2,2054,51,mlp,0.37887999415397644
none,8,2048,3,2055,0,mamba,0.8269439935684204
none,8,2048,3,2055,1,mlp,0.3850240111351013
none,8,2048,3,2055,2,mamba,0.7034879922866821
none,8,2048,3,2055,3,mlp,0.38092800974845886
none,8,2048,3,2055,4,mamba,0.694271981716156
none,8,2048,3,2055,5,mlp,0.3758080005645752
none,8,2048,3,2055,6,mamba,0.6963199973106384
none,8,2048,3,2055,7,attention,1.7100800275802612
none,8,2048,3,2055,8,mlp,0.2836480140686035
none,8,2048,3,2055,9,mamba,0.7270399928092957
none,8,2048,3,2055,10,mlp,0.3829759955406189
none,8,2048,3,2055,11,mamba,0.6983680129051208
none,8,2048,3,2055,12,mlp,0.37887999415397644
none,8,2048,3,2055,13,mamba,0.6952959895133972
none,8,2048,3,2055,14,mlp,0.37990400195121765
none,8,2048,3,2055,15,mamba,0.7014399766921997
none,8,2048,3,2055,16,mlp,0.38604798913002014
none,8,2048,3,2055,17,mamba,0.7055360078811646
none,8,2048,3,2055,18,attention,1.6814080476760864
none,8,2048,3,2055,19,mlp,0.28467199206352234
none,8,2048,3,2055,20,mamba,0.7280640006065369
none,8,2048,3,2055,21,mlp,0.38604798913002014
none,8,2048,3,2055,22,mamba,0.7045120000839233
none,8,2048,3,2055,23,mlp,0.3819519877433777
none,8,2048,3,2055,24,mamba,0.6912000179290771
none,8,2048,3,2055,25,mlp,0.37785598635673523
none,8,2048,3,2055,26,mamba,0.6932479739189148
none,8,2048,3,2055,27,mlp,0.3911679983139038
none,8,2048,3,2055,28,mamba,0.7055360078811646
none,8,2048,3,2055,29,attention,1.6936960220336914
none,8,2048,3,2055,30,mlp,0.2836480140686035
none,8,2048,3,2055,31,mamba,0.7188479900360107
none,8,2048,3,2055,32,mlp,0.38707199692726135
none,8,2048,3,2055,33,mamba,0.7024639844894409
none,8,2048,3,2055,34,mlp,0.38604798913002014
none,8,2048,3,2055,35,mamba,0.694271981716156
none,8,2048,3,2055,36,mlp,0.3850240111351013
none,8,2048,3,2055,37,mamba,0.6973440051078796
none,8,2048,3,2055,38,mlp,0.37785598635673523
none,8,2048,3,2055,39,mamba,0.694271981716156
none,8,2048,3,2055,40,attention,1.698815941810608
none,8,2048,3,2055,41,mlp,0.28467199206352234
none,8,2048,3,2055,42,mamba,0.7014399766921997
none,8,2048,3,2055,43,mlp,0.38707199692726135
none,8,2048,3,2055,44,mamba,0.711679995059967
none,8,2048,3,2055,45,mlp,0.3840000033378601
none,8,2048,3,2055,46,mamba,0.7096319794654846
none,8,2048,3,2055,47,mlp,0.38092800974845886
none,8,2048,3,2055,48,mamba,0.6983680129051208
none,8,2048,3,2055,49,mlp,0.38092800974845886
none,8,2048,3,2055,50,mamba,0.7219200134277344
none,8,2048,3,2055,51,mlp,0.38092800974845886
none,8,2048,4,2056,0,mamba,0.8271999955177307
none,8,2048,4,2056,1,mlp,0.3901439905166626
none,8,2048,4,2056,2,mamba,0.7086079716682434
none,8,2048,4,2056,3,mlp,0.3829759955406189
none,8,2048,4,2056,4,mamba,0.6993920207023621
none,8,2048,4,2056,5,mlp,0.37785598635673523
none,8,2048,4,2056,6,mamba,0.681984007358551
none,8,2048,4,2056,7,attention,1.7018879652023315
none,8,2048,4,2056,8,mlp,0.28569599986076355
none,8,2048,4,2056,9,mamba,0.7290880084037781
none,8,2048,4,2056,10,mlp,0.3819519877433777
none,8,2048,4,2056,11,mamba,0.7014399766921997
none,8,2048,4,2056,12,mlp,0.3819519877433777
none,8,2048,4,2056,13,mamba,0.7137280106544495
none,8,2048,4,2056,14,mlp,0.3850240111351013
none,8,2048,4,2056,15,mamba,0.6952959895133972
none,8,2048,4,2056,16,mlp,0.3819519877433777
none,8,2048,4,2056,17,mamba,0.7065600156784058
none,8,2048,4,2056,18,attention,1.7070080041885376
none,8,2048,4,2056,19,mlp,0.2836480140686035
none,8,2048,4,2056,20,mamba,0.7260159850120544
none,8,2048,4,2056,21,mlp,0.38092800974845886
none,8,2048,4,2056,22,mamba,0.7055360078811646
none,8,2048,4,2056,23,mlp,0.38092800974845886
none,8,2048,4,2056,24,mamba,0.6973440051078796
none,8,2048,4,2056,25,mlp,0.37990400195121765
none,8,2048,4,2056,26,mamba,0.7167999744415283
none,8,2048,4,2056,27,mlp,0.39423999190330505
none,8,2048,4,2056,28,mamba,0.7464960217475891
none,8,2048,4,2056,29,attention,1.698815941810608
none,8,2048,4,2056,30,mlp,0.28467199206352234
none,8,2048,4,2056,31,mamba,0.6963199973106384
none,8,2048,4,2056,32,mlp,0.3768320083618164
none,8,2048,4,2056,33,mamba,0.7137280106544495
none,8,2048,4,2056,34,mlp,0.38707199692726135
none,8,2048,4,2056,35,mamba,0.694271981716156
none,8,2048,4,2056,36,mlp,0.37990400195121765
none,8,2048,4,2056,37,mamba,0.6952959895133972
none,8,2048,4,2056,38,mlp,0.37785598635673523
none,8,2048,4,2056,39,mamba,0.6912000179290771
none,8,2048,4,2056,40,attention,1.6977920532226562
none,8,2048,4,2056,41,mlp,0.28467199206352234
none,8,2048,4,2056,42,mamba,0.7342079877853394
none,8,2048,4,2056,43,mlp,0.3911679983139038
none,8,2048,4,2056,44,mamba,0.7014399766921997
none,8,2048,4,2056,45,mlp,0.3829759955406189
none,8,2048,4,2056,46,mamba,0.719871997833252
none,8,2048,4,2056,47,mlp,0.38707199692726135
none,8,2048,4,2056,48,mamba,0.7127040028572083
none,8,2048,4,2056,49,mlp,0.37990400195121765
none,8,2048,4,2056,50,mamba,0.7055360078811646
none,8,2048,4,2056,51,mlp,0.38092800974845886
none,8,2048,5,2057,0,mamba,0.852512001991272
none,8,2048,5,2057,1,mlp,0.38604798913002014
none,8,2048,5,2057,2,mamba,0.7157760262489319
none,8,2048,5,2057,3,mlp,0.38092800974845886
none,8,2048,5,2057,4,mamba,0.6993920207023621
none,8,2048,5,2057,5,mlp,0.37887999415397644
none,8,2048,5,2057,6,mamba,0.6881279945373535
none,8,2048,5,2057,7,attention,1.7070080041885376
none,8,2048,5,2057,8,mlp,0.28467199206352234
none,8,2048,5,2057,9,mamba,0.7280640006065369
none,8,2048,5,2057,10,mlp,0.3819519877433777
none,8,2048,5,2057,11,mamba,0.7086079716682434
none,8,2048,5,2057,12,mlp,0.38092800974845886
none,8,2048,5,2057,13,mamba,0.6952959895133972
none,8,2048,5,2057,14,mlp,0.37887999415397644
none,8,2048,5,2057,15,mamba,0.7106559872627258
none,8,2048,5,2057,16,mlp,0.39526399970054626
none,8,2048,5,2057,17,mamba,0.7065600156784058
none,8,2048,5,2057,18,attention,1.7070080041885376
none,8,2048,5,2057,19,mlp,0.2826240062713623
none,8,2048,5,2057,20,mamba,0.7188479900360107
none,8,2048,5,2057,21,mlp,0.38604798913002014
none,8,2048,5,2057,22,mamba,0.7045120000839233
none,8,2048,5,2057,23,mlp,0.3891200125217438
none,8,2048,5,2057,24,mamba,0.6891520023345947
none,8,2048,5,2057,25,mlp,0.38707199692726135
none,8,2048,5,2057,26,mamba,0.7014399766921997
none,8,2048,5,2057,27,mlp,0.3819519877433777
none,8,2048,5,2057,28,mamba,0.6891520023345947
none,8,2048,5,2057,29,attention,1.7080320119857788
none,8,2048,5,2057,30,mlp,0.2826240062713623
none,8,2048,5,2057,31,mamba,0.719871997833252
none,8,2048,5,2057,32,mlp,0.3850240111351013
none,8,2048,5,2057,33,mamba,0.7004160284996033
none,8,2048,5,2057,34,mlp,0.3829759955406189
none,8,2048,5,2057,35,mamba,0.7188479900360107
none,8,2048,5,2057,36,mlp,0.37990400195121765
none,8,2048,5,2057,37,mamba,0.7086079716682434
none,8,2048,5,2057,38,mlp,0.37785598635673523
none,8,2048,5,2057,39,mamba,0.6973440051078796
none,8,2048,5,2057,40,attention,1.6977920532226562
none,8,2048,5,2057,41,mlp,0.28467199206352234
none,8,2048,5,2057,42,mamba,0.7239680290222168
none,8,2048,5,2057,43,mlp,0.3840000033378601
none,8,2048,5,2057,44,mamba,0.7147520184516907
none,8,2048,5,2057,45,mlp,0.38092800974845886
none,8,2048,5,2057,46,mamba,0.6973440051078796
none,8,2048,5,2057,47,mlp,0.37785598635673523
none,8,2048,5,2057,48,mamba,0.7014399766921997
none,8,2048,5,2057,49,mlp,0.3840000033378601
none,8,2048,5,2057,50,mamba,0.707584023475647
none,8,2048,5,2057,51,mlp,0.3819519877433777
none,8,2048,6,2058,0,mamba,0.8343999981880188
none,8,2048,6,2058,1,mlp,0.38707199692726135
none,8,2048,6,2058,2,mamba,0.7086079716682434
none,8,2048,6,2058,3,mlp,0.3850240111351013
none,8,2048,6,2058,4,mamba,0.6932479739189148
none,8,2048,6,2058,5,mlp,0.3768320083618164
none,8,2048,6,2058,6,mamba,0.7065600156784058
none,8,2048,6,2058,7,attention,1.7018879652023315
none,8,2048,6,2058,8,mlp,0.28569599986076355
none,8,2048,6,2058,9,mamba,0.7157760262489319
none,8,2048,6,2058,10,mlp,0.3819519877433777
none,8,2048,6,2058,11,mamba,0.6963199973106384
none,8,2048,6,2058,12,mlp,0.3829759955406189
none,8,2048,6,2058,13,mamba,0.754688024520874
none,8,2048,6,2058,14,mlp,0.3901439905166626
none,8,2048,6,2058,15,mamba,0.7055360078811646
none,8,2048,6,2058,16,mlp,0.3840000033378601
none,8,2048,6,2058,17,mamba,0.6922240257263184
none,8,2048,6,2058,18,attention,1.6803840398788452
none,8,2048,6,2058,19,mlp,0.2836480140686035
none,8,2048,6,2058,20,mamba,0.719871997833252
none,8,2048,6,2058,21,mlp,0.3819519877433777
none,8,2048,6,2058,22,mamba,0.707584023475647
none,8,2048,6,2058,23,mlp,0.38809600472450256
none,8,2048,6,2058,24,mamba,0.6932479739189148
none,8,2048,6,2058,25,mlp,0.38604798913002014
none,8,2048,6,2058,26,mamba,0.7096319794654846
none,8,2048,6,2058,27,mlp,0.37990400195121765
none,8,2048,6,2058,28,mamba,0.6922240257263184
none,8,2048,6,2058,29,attention,1.5534080266952515
none,8,2048,6,2058,30,mlp,0.2836480140686035
none,8,2048,6,2058,31,mamba,0.7137280106544495
none,8,2048,6,2058,32,mlp,0.3850240111351013
none,8,2048,6,2058,33,mamba,0.6922240257263184
none,8,2048,6,2058,34,mlp,0.38707199692726135
none,8,2048,6,2058,35,mamba,0.7014399766921997
none,8,2048,6,2058,36,mlp,0.3819519877433777
none,8,2048,6,2058,37,mamba,0.6932479739189148
none,8,2048,6,2058,38,mlp,0.37887999415397644
none,8,2048,6,2058,39,mamba,0.7188479900360107
none,8,2048,6,2058,40,attention,1.7008639574050903
none,8,2048,6,2058,41,mlp,0.28569599986076355
none,8,2048,6,2058,42,mamba,0.7045120000839233
none,8,2048,6,2058,43,mlp,0.3829759955406189
none,8,2048,6,2058,44,mamba,0.7188479900360107
none,8,2048,6,2058,45,mlp,0.38707199692726135
none,8,2048,6,2058,46,mamba,0.7004160284996033
none,8,2048,6,2058,47,mlp,0.3829759955406189
none,8,2048,6,2058,48,mamba,0.7045120000839233
none,8,2048,6,2058,49,mlp,0.37887999415397644
none,8,2048,6,2058,50,mamba,0.6983680129051208
none,8,2048,6,2058,51,mlp,0.38092800974845886
none,8,2048,7,2059,0,mamba,0.8419520258903503
none,8,2048,7,2059,1,mlp,0.38604798913002014
none,8,2048,7,2059,2,mamba,0.7096319794654846
none,8,2048,7,2059,3,mlp,0.38092800974845886
none,8,2048,7,2059,4,mamba,0.6952959895133972
none,8,2048,7,2059,5,mlp,0.37990400195121765
none,8,2048,7,2059,6,mamba,0.7137280106544495
none,8,2048,7,2059,7,attention,1.6947200298309326
none,8,2048,7,2059,8,mlp,0.28569599986076355
none,8,2048,7,2059,9,mamba,0.7065600156784058
none,8,2048,7,2059,10,mlp,0.38092800974845886
none,8,2048,7,2059,11,mamba,0.707584023475647
none,8,2048,7,2059,12,mlp,0.38707199692726135
none,8,2048,7,2059,13,mamba,0.6952959895133972
none,8,2048,7,2059,14,mlp,0.37990400195121765
none,8,2048,7,2059,15,mamba,0.6922240257263184
none,8,2048,7,2059,16,mlp,0.3840000033378601
none,8,2048,7,2059,17,mamba,0.6830080151557922
none,8,2048,7,2059,18,attention,1.703935980796814
none,8,2048,7,2059,19,mlp,0.28569599986076355
none,8,2048,7,2059,20,mamba,0.7280640006065369
none,8,2048,7,2059,21,mlp,0.38092800974845886
none,8,2048,7,2059,22,mamba,0.711679995059967
none,8,2048,7,2059,23,mlp,0.38092800974845886
none,8,2048,7,2059,24,mamba,0.694271981716156
none,8,2048,7,2059,25,mlp,0.3840000033378601
none,8,2048,7,2059,26,mamba,0.6963199973106384
none,8,2048,7,2059,27,mlp,0.38809600472450256
none,8,2048,7,2059,28,mamba,0.7034879922866821
none,8,2048,7,2059,29,attention,1.7008639574050903
none,8,2048,7,2059,30,mlp,0.28467199206352234
none,8,2048,7,2059,31,mamba,0.7065600156784058
none,8,2048,7,2059,32,mlp,0.38809600472450256
none,8,2048,7,2059,33,mamba,0.7034879922866821
none,8,2048,7,2059,34,mlp,0.38707199692726135
none,8,2048,7,2059,35,mamba,0.6850559711456299
none,8,2048,7,2059,36,mlp,0.37887999415397644
none,8,2048,7,2059,37,mamba,0.7188479900360107
none,8,2048,7,2059,38,mlp,0.3819519877433777
none,8,2048,7,2059,39,mamba,0.7065600156784058
none,8,2048,7,2059,40,attention,1.6936960220336914
none,8,2048,7,2059,41,mlp,0.2826240062713623
none,8,2048,7,2059,42,mamba,0.711679995059967
none,8,2048,7,2059,43,mlp,0.38809600472450256
none,8,2048,7,2059,44,mamba,0.7086079716682434
none,8,2048,7,2059,45,mlp,0.3819519877433777
none,8,2048,7,2059,46,mamba,0.6993920207023621
none,8,2048,7,2059,47,mlp,0.3819519877433777
none,8,2048,7,2059,48,mamba,0.694271981716156
none,8,2048,7,2059,49,mlp,0.37785598635673523
none,8,2048,7,2059,50,mamba,0.7464960217475891
none,8,2048,7,2059,51,mlp,0.38809600472450256
none,8,2048,8,2060,0,mamba,0.8186240196228027
none,8,2048,8,2060,1,mlp,0.3829759955406189
none,8,2048,8,2060,2,mamba,0.7096319794654846
none,8,2048,8,2060,3,mlp,0.38809600472450256
none,8,2048,8,2060,4,mamba,0.6983680129051208
none,8,2048,8,2060,5,mlp,0.37887999415397644
none,8,2048,8,2060,6,mamba,0.6860799789428711
none,8,2048,8,2060,7,attention,1.703935980796814
none,8,2048,8,2060,8,mlp,0.28569599986076355
none,8,2048,8,2060,9,mamba,0.7147520184516907
none,8,2048,8,2060,10,mlp,0.3829759955406189
none,8,2048,8,2060,11,mamba,0.7014399766921997
none,8,2048,8,2060,12,mlp,0.37990400195121765
