staging_mode,batch_size,context_length,attn_layer_id,prev_attn_layer_id,steps,mean_T_gap_ms,mean_T_stage_ms,mean_T_attn_ms,mean_wait_before_attention_ms,mean_hideability,mean_overlap_ratio,gap_slowdown_pct
dequant,8,2048,7,,32,74.64883233606815,69.53689633868635,1.5979200080037117,0.022784000262618065,1.400359341792777,0.9983499346304872,1603.5147128805352
none,8,2048,7,,32,4.38204799592495,,1.6482239998877048,,,,
dequant,8,2048,18,7,32,5.92809596657753,0.4028479987755418,1.5399359986186028,0.021343999600503594,14.715845034252995,0.9470215554350941,9.152774921223088
none,8,2048,18,7,32,5.431008026003838,,1.5294400043785572,,,,
dequant,8,2048,29,18,32,5.907487988471985,0.40284799970686436,1.5335999988019466,0.020639999536797404,14.664596965530864,0.9487657519894275,8.78934978024826
none,8,2048,29,18,32,5.430208012461662,,1.5408320017158985,,,,
dequant,8,2048,40,29,32,5.884511947631836,0.4027839982882142,1.5415679849684238,0.020639999478589743,14.609798047819089,0.948753008653989,8.945329068567592
none,8,2048,40,29,32,5.401343956589699,,1.5233599990606308,,,,
