mode,captured_launches,mean_achieved_occupancy_pct,mean_active_warps_per_scheduler,mean_active_warps_per_sm,mean_block_size,mean_dram_throughput_pct,mean_driver_shared_mem_per_block_bytes,mean_duration_ns,mean_dynamic_shared_mem_per_block_bytes,mean_eligible_warps_per_scheduler,mean_grid_size,mean_integer_inst,mean_issued_warp_per_scheduler,mean_l1tex_hit_rate_pct,mean_l1tex_throughput_pct,mean_l2_hit_rate_pct,mean_l2_throughput_pct,mean_local_load_bytes,mean_local_store_bytes,mean_memory_throughput_bps,mean_memory_throughput_pct,mean_no_eligible_pct,mean_one_or_more_eligible_pct,mean_registers_per_thread,mean_shared_mem_config_bytes,mean_sm_throughput_pct,mean_sms,mean_stall_barrier_pct,mean_stall_branch_resolving_pct,mean_stall_dispatch_stall_pct,mean_stall_drain_pct,mean_stall_imc_miss_pct,mean_stall_lg_throttle_pct,mean_stall_long_scoreboard_pct,mean_stall_math_pipe_throttle_pct,mean_stall_membar_pct,mean_stall_mio_throttle_pct,mean_stall_misc_pct,mean_stall_no_instruction_pct,mean_stall_not_selected_pct,mean_stall_selected_pct,mean_stall_short_scoreboard_pct,mean_stall_sleeping_pct,mean_stall_tex_throttle_pct,mean_stall_wait_pct,mean_static_shared_mem_per_block_bytes,mean_tensor_inst,mean_theoretical_occupancy_pct,mean_threads,mean_warp_cycles_per_executed_inst,mean_warp_cycles_per_issued_inst,mean_waves_per_sm,mean_duration_ms
state_mx8,4,95.17750000000001,15.19,60.912499999999994,128.0,2.915,1024.0,241472.0,256.0,7.605,65536.0,822083584.0,0.87,78.2925,47.8225,76.0975,8.9575,0.0,0.0,56439788205.8825,47.0,12.96,87.04,24.0,65536.0,85.52000000000001,108.0,8.657499999999999,0.13,7.12,0.21,0.1325,0.0,0.1225,16.7875,0.0,0.35,0.0,0.13,44.335,5.73,5.96,0.0,0.0,10.35,0.0,262144.0,100.0,8388608.0,17.46,17.45,37.93,0.241472
kv_int4_state_mx8,4,95.17750000000001,15.1875,60.915,128.0,2.9250000000000003,1024.0,241248.0,256.0,7.605,65536.0,822083584.0,0.87,78.315,47.82,76.0375,8.98,0.0,0.0,56585827662.3375,47.0425,12.967500000000001,87.0325,24.0,65536.0,85.5925,108.0,8.675,0.13,7.115,0.21,0.12,0.0,0.125,16.767500000000002,0.0,0.35,0.0,0.13,44.3475,5.73,5.96,0.0,0.0,10.35,0.0,262144.0,100.0,8388608.0,17.46,17.45,37.93,0.241248
