layer_idx,ppl,baseline_ppl,delta_ppl,ppl_degradation_pct,elapsed_s,tokens_per_s
0,5.446259605714819,5.46009199346783,-0.013832387753010877,-0.2533361666719025,16.161398936994374,31.680425809426836
2,5.432561057304061,5.46009199346783,-0.027530936163769226,-0.5042211046390022,14.359708908014,35.655318870305116
4,5.449928674309616,5.46009199346783,-0.010163319158214001,-0.18613824035149662,14.37107505183667,35.627118928348004
6,5.461861896880059,5.46009199346783,0.0017699034122289348,0.03241526725825672,14.3432483561337,35.69623751101333
9,5.4557222888529795,5.46009199346783,-0.004369704614850534,-0.08002987165927067,14.368608313146979,35.63323523347286
11,5.43158837181566,5.46009199346783,-0.028503621652170352,-0.5220355570248691,14.350809868890792,35.67742898677074
13,5.454013531161405,5.46009199346783,-0.006078462306424726,-0.11132527279205107,14.352681685239077,35.67277608661544
15,5.429084412499332,5.46009199346783,-0.031007580968497983,-0.5678948450977384,14.36318445019424,35.64669114815106
17,5.471173722930199,5.46009199346783,0.011081729462368628,0.2029586584919585,14.372025920078158,35.62476180095949
20,5.4608094482728085,5.46009199346783,0.0007174548049784235,0.013139976502896111,14.369667444843799,35.63060884778643
22,5.479528872583241,5.46009199346783,0.019436879115411365,0.3559807992001618,14.359104458708316,35.65681978791436
24,5.420670012279776,5.46009199346783,-0.03942198118805429,-0.7220021427334355,14.346838871017098,35.68730398403802
26,5.474035286361375,5.46009199346783,0.013943292893545234,0.25536736212918854,16.299750547856092,31.411523660854026
28,5.460836328833351,5.46009199346783,0.0007443353655212093,0.013632286166820329,14.430994023103267,35.47919146666645
31,5.4734358228698,5.46009199346783,0.013343829401970098,0.24438836228279914,14.53753672586754,35.21917155944079
33,5.4327883947175515,5.46009199346783,-0.027303598750278546,-0.5000574858984641,14.464331194758415,35.39741956306549
35,5.416149343936492,5.46009199346783,-0.04394264953133842,-0.8047968712598497,14.495063453912735,35.32237037995118
37,5.4570862347975835,5.46009199346783,-0.00300575867024655,-0.05504959758630967,14.489913494326174,35.334924545994305
39,5.399588300289893,5.46009199346783,-0.060503693177937024,-1.108107578596118,14.46479067998007,35.396295136757935
42,5.424687270926614,5.46009199346783,-0.03540472254121596,-0.6484272166764282,14.462702078744769,35.401406819578
44,5.471853643189263,5.46009199346783,0.01176164972143301,0.2154112006813147,14.492210315074772,35.32932443489442
46,5.485373682546516,5.46009199346783,0.02528168907868622,0.46302679714795847,14.488835867028683,35.33755263009954
48,5.45424381353593,5.46009199346783,-0.0058481799318998995,-0.10710771794497642,14.435152309015393,35.46897109497302
50,5.420790023564453,5.46009199346783,-0.0393019699033772,-0.7198041708893599,14.484576207119972,35.34794478476517
