layer_idx,ppl,baseline_ppl,delta_ppl,ppl_degradation_pct,elapsed_s,tokens_per_s
0,5.252494364004025,5.245458542916378,0.007035821087646887,0.13413166894911122,8.132119507994503,31.480107953201152
2,5.237219560618638,5.245458542916378,-0.008238982297739561,-0.15706886691280175,7.312965794000775,35.00631716478296
4,5.259631697022752,5.245458542916378,0.01417315410637432,0.2701985725445111,7.31233782088384,35.009323457249316
6,5.244177632839721,5.245458542916378,-0.0012809100766570936,-0.024419410928089302,7.303200649097562,35.05312428074029
9,5.253895472279097,5.245458542916378,0.008436929362718892,0.16084255158421712,7.292960708029568,35.10234186756873
11,5.222492777720997,5.245458542916378,-0.02296576519538096,-0.43782187977435827,7.320190207101405,34.97176886901809
13,5.248879356922192,5.245458542916378,0.0034208140058140657,0.06521477536856057,7.324277990031987,34.95225063117545
15,5.221809012250444,5.245458542916378,-0.023649530665934115,-0.4508572600935179,7.328900798223913,34.93020400303946
17,5.261295860452323,5.245458542916378,0.015837317535945417,0.301924367648132,7.288685450796038,35.12293152560738
20,5.283265576983179,5.245458542916378,0.03780703406680086,0.7207574658626648,7.29590571206063,35.08817275102864
22,5.263924514621306,5.245458542916378,0.01846597170492803,0.35203732054778225,7.318555252626538,34.97958151072574
24,5.244088032221284,5.245458542916378,-0.0013705106950938628,-0.02612756699688079,7.309442258905619,35.02319204835318
26,5.257632938130307,5.245458542916378,0.012174395213929046,0.23209401264585594,8.112473407760262,31.556343809412613
28,5.296189444381381,5.245458542916378,0.05073090146500281,0.9671394988625126,7.291929694823921,35.10730502266337
31,5.251983972441549,5.245458542916378,0.006525429525170878,0.12440150792885074,7.271783895790577,35.20456653671885
33,5.247856184014748,5.245458542916378,0.0023976410983701513,0.04570889425115077,7.297178610693663,35.082052072131596
35,5.264890025520679,5.245458542916378,0.019431482604301387,0.37044392678582394,7.266301556956023,35.231127967009776
37,5.2493676110150815,5.245458542916378,0.003909068098703727,0.07452290522784732,7.283441565930843,35.148219105301834
39,5.242332816127646,5.245458542916378,-0.0031257267887321305,-0.059589200127285746,7.284873748198152,35.14130908079489
42,5.2556574508999265,5.245458542916378,0.010198907983548722,0.194433106278602,7.286431428045034,35.1337966366734
44,5.228555349678846,5.245458542916378,-0.016903193237531866,-0.32224433954126663,7.268734605051577,35.2193351263763
46,5.254877576383466,5.245458542916378,0.009419033467088056,0.17956549251176845,7.288486462086439,35.12389044442516
48,5.2733302037885865,5.245458542916378,0.027871660872208714,0.5313484158567583,7.265920483972877,35.232975720651396
50,5.2539939969504275,5.245458542916378,0.00853545403404965,0.1627208367813049,7.276903393678367,35.1797991742468
