layer_idx,ppl,baseline_ppl,delta_ppl,ppl_degradation_pct,elapsed_s,tokens_per_s
0,2.6607229542336417,2.6665085729506393,-0.005785618716997565,-0.21697356519635447,16.361364946700633,31.293232665361938
2,2.6692888341752097,2.6665085729506393,0.002780261224570424,0.10426597734483067,14.558160274289548,35.169278971616905
4,2.6697986819956427,2.6665085729506393,0.0032901090450034864,0.12338640416831304,14.550384778995067,35.188072877572495
6,2.6675014307298417,2.6665085729506393,0.0009928577792024385,0.03723437416531805,14.59631943097338,35.07733592850375
9,2.6684061461612694,2.6665085729506393,0.0018975732106301102,0.0711632143200136,14.605566107667983,35.055128724603
11,2.6681238263187916,2.6665085729506393,0.0016152533681523806,0.06057559253840328,14.561844639014453,35.16038061745536
13,2.6750096841734514,2.6665085729506393,0.008501111222812163,0.31881057158593684,14.607944708317518,35.04942072435938
15,2.6725872499312215,2.6665085729506393,0.006078676980582287,0.2279639016444568,14.629166427068412,34.99857647751167
17,2.6763611133967595,2.6665085729506393,0.009852540446120273,0.3694921721259625,14.655844281893224,34.934868995064164
20,2.6897492990233554,2.6665085729506393,0.0232407260727161,0.8715788994069884,14.613926065154374,35.03507529169859
22,2.675010006166191,2.6665085729506393,0.008501433215551746,0.31882264702958185,14.654218364972621,34.938745093618415
24,2.6670994366222254,2.6665085729506393,0.0005908636715861171,0.022158701366259415,14.554669884033501,35.177713000668255
26,2.678059547724827,2.6665085729506393,0.011550974774187761,0.4331872355994637,16.168427316006273,31.666654399536736
28,2.6756063674372377,2.6665085729506393,0.00909779448659842,0.3411875205985737,14.361591439694166,35.650645135669116
31,2.681366491693442,2.6665085729506393,0.014857918742802845,0.5572049868327156,14.34320902498439,35.69633539524864
33,2.66545521714415,2.6665085729506393,-0.0010533558064893533,-0.03950318469532199,14.38732388569042,35.58688217961321
35,2.6716607633744616,2.6665085729506393,0.0051521904238223115,0.1932185958855248,14.431016771122813,35.47913553981433
37,2.673386779489472,2.6665085729506393,0.006878206538832643,0.25794803769265684,14.447019831743091,35.43983506377074
39,2.667821388563361,2.6665085729506393,0.001312815612721785,0.04923350429244522,14.434699334204197,35.47008414555434
42,2.668446976512263,2.6665085729506393,0.0019384035616236694,0.07269444326138963,14.47125385934487,35.38048637501953
44,2.664371538412026,2.6665085729506393,-0.002137034538613136,-0.08014354651965094,14.483741589821875,35.34998168980014
46,2.6671295135889928,2.6665085729506393,0.0006209406383534954,0.023286654490917158,14.459459145087749,35.409346564248196
48,2.6671376643439806,2.6665085729506393,0.00062909139334133,0.023592325924726154,14.434959164820611,35.46944568071889
50,2.671581328591623,2.6665085729506393,0.00507275564098375,0.1902396149197516,14.496920822188258,35.317844822354175
